First Name,Last Name,Email ID,Contact Number,Address,Country,City,State,Zip,Company/LLC,Occupation,Replacing Occupation,Bedroom (min),Bedroom (max),Bath (min),Bath (max),Sq Ft Min,Sq Ft Max,Lot Size Sq Ft (min),Lot Size Sq Ft (max),Year Built (min),Year Built (max),ARV (min),ARV (max),Parking,Property Type,Property Flaw,Solar ,Pool,Septic,Well,Age restriction,Rental Restriction,HOA,Tenant/Occupant,Post Possession,Building Required,Foundation Issues,Mold,Fire Damaged,Rebuild,Buyer Type,Maximum Down Payment (%),Maximum Down Payment ($),Maximum Interest Rate (%),Balloon Payment,Minimum Units,Maximum Units,Building Class,Value Add,Purchase Method
Test1,Buyer,test1@gmail.com,1234567890,Hathoj,India,Jaipur,Rajasthan,123456,Test Company,Test occupation,Blank,11,22,11,22,11,22,11,22,2012,2023,,,"Assigned,Driveway","Attached,Commercial - Retail",,,yes,no,,,,,,,,,blank,,,"Creative, Hedgefund",35,,10,yes,3,4,"A, B",no,"cash, Conforming Loan"
Test2,Buyer,test2@gmail.com,1234567890,Hathoj,India,Jaipur,Rajasthan,123456,Test Company,Test occupation,Blank,11,22,11,22,11,22,11,22,2012,2023,,,"Assigned,Driveway","Attached,Commercial - Retail",,,yes,no,,,,,,,,,blank,,,"Creative, Hedgefund",35,,10,yes,3,4,"A, B",no,"cash, Conforming Loan"
Test3,Buyer,test3@gmail.com,1234567890,Hathoj,India,Jaipur,Rajasthan,123456,Test Company,Test occupation,Blank,11,22,11,22,11,22,11,22,2012,2023,,,"Assigned,Driveway","Attached,Commercial - Retail",,,yes,no,,,,,,,,,blank,,,"Creative, Hedgefund",35,,10,yes,3,4,"A, B",no,"cash, Conforming Loan"
Test7,Buyer,test7@gmail.com,1234567890,Hathoj,India,Jaipur,Rajasthan,123456,Test Company,Test occupation,Blank,11,22,11,22,11,22,11,22,2012,2023,,,"Assigned,Driveway","Attached,Commercial - Retail",,,yes,no,,,,,,,,,blank,,,"Creative, Hedgefund",35,,10,yes,3,4,"A, B",no,"cash, Conforming Loan"
Test6,Buyer,test6@gmail.com,1234567890,Hathoj,India,Jaipur,Rajasthan,123456,Test Company,Test occupation,Blank,11,22,11,22,11,22,11,22,2012,2023,,,"Assigned,Driveway","Attached,Commercial - Retail",,,yes,no,,,,,,,,,blank,,,"Creative, Hedgefund",35,,10,yes,3,4,"A, B",no,"cash, Conforming Loan"
Test9,Buyer,test9@gmail.com,1234567890,Hathoj,India,Jaipur,Rajasthan,123456,Test Company,Test occupation,Blank,11,22,11,22,11,22,11,22,2012,2023,,,"Assigned,Driveway","Attached,Commercial - Retail",,,yes,no,,,,,,,,,blank,,,"Creative, Hedgefund",35,,10,yes,3,4,"A, B",no,"cash, Conforming Loan"
Test10,Buyer,test10@gmail.com,1234567891,Hathoj,India,Jaipur,Rajasthan,123457,Test Company,Test occupation,Blank,11,22,11,22,11,22,11,22,2012,2023,,,"Assigned,Driveway","Attached,Commercial - Retail",,,yes,no,,,,,,,,,blank,,,"Creative, Hedgefund",35,,10,yes,3,4,"A, B",no,"cash, Conforming Loan"
Test11,Buyer,test11@gmail.com,1234567892,Hathoj,India,Jaipur,Rajasthan,123458,Test Company,Test occupation,Blank,11,22,11,22,11,22,11,22,2012,2023,,,"Assigned,Driveway","Attached,Commercial - Retail",,,yes,no,,,,,,,,,blank,,,"Creative, Hedgefund",35,,10,yes,3,4,"A, B",no,"cash, Conforming Loan"
Test12,Buyer,test12@gmail.com,1234567893,Hathoj,India,Jaipur,Rajasthan,123459,Test Company,Test occupation,Blank,11,22,11,22,11,22,11,22,2012,2023,,,"Assigned,Driveway","Attached,Commercial - Retail",,,yes,no,,,,,,,,,blank,,,"Creative, Hedgefund",35,,10,yes,3,4,"A, B",no,"cash, Conforming Loan"
Test13,Buyer,test13@gmail.com,1234567894,Hathoj,India,Jaipur,Rajasthan,123460,Test Company,Test occupation,Blank,11,22,11,22,11,22,11,22,2012,2023,,,"Assigned,Driveway","Attached,Commercial - Retail",,,yes,no,,,,,,,,,blank,,,"Creative, Hedgefund",35,,10,yes,3,4,"A, B",no,"cash, Conforming Loan"
Test14,Buyer,test14@gmail.com,1234567895,Hathoj,India,Jaipur,Rajasthan,123461,Test Company,Test occupation,Blank,11,22,11,22,11,22,11,22,2012,2023,,,"Assigned,Driveway","Attached,Commercial - Retail",,,yes,no,,,,,,,,,blank,,,"Creative, Hedgefund",35,,10,yes,3,4,"A, B",no,"cash, Conforming Loan"
Test15,Buyer,test15@gmail.com,1234567896,Hathoj,India,Jaipur,Rajasthan,123462,Test Company,Test occupation,Blank,11,22,11,22,11,22,11,22,2012,2023,,,"Assigned,Driveway","Attached,Commercial - Retail",,,yes,no,,,,,,,,,blank,,,"Creative, Hedgefund",35,,10,yes,3,4,"A, B",no,"cash, Conforming Loan"
Test16,Buyer,test16@gmail.com,1234567897,Hathoj,India,Jaipur,Rajasthan,123463,Test Company,Test occupation,Blank,11,22,11,22,11,22,11,22,2012,2023,,,"Assigned,Driveway","Attached,Commercial - Retail",,,yes,no,,,,,,,,,blank,,,"Creative, Hedgefund",35,,10,yes,3,4,"A, B",no,"cash, Conforming Loan"
Test17,Buyer,test17@gmail.com,1234567898,Hathoj,India,Jaipur,Rajasthan,123464,Test Company,Test occupation,Blank,11,22,11,22,11,22,11,22,2012,2023,,,"Assigned,Driveway","Attached,Commercial - Retail",,,yes,no,,,,,,,,,blank,,,"Creative, Hedgefund",35,,10,yes,3,4,"A, B",no,"cash, Conforming Loan"
Test18,Buyer,test18@gmail.com,1234567899,Hathoj,India,Jaipur,Rajasthan,123465,Test Company,Test occupation,Blank,11,22,11,22,11,22,11,22,2012,2023,,,"Assigned,Driveway","Attached,Commercial - Retail",,,yes,no,,,,,,,,,blank,,,"Creative, Hedgefund",35,,10,yes,3,4,"A, B",no,"cash, Conforming Loan"
Test19,Buyer,test19@gmail.com,1234567900,Hathoj,India,Jaipur,Rajasthan,123466,Test Company,Test occupation,Blank,11,22,11,22,11,22,11,22,2012,2023,,,"Assigned,Driveway","Attached,Commercial - Retail",,,yes,no,,,,,,,,,blank,,,"Creative, Hedgefund",35,,10,yes,3,4,"A, B",no,"cash, Conforming Loan"
